[2023-10-10 19:37:41.145] Opened database successfully
[2023-10-10 19:37:41.227] Table ANALOGS created successfully
[2023-10-10 19:37:41.253] Table BINARIES created successfully
[2023-10-10 19:38:01.006] Signal 9: 50
[2023-10-10 19:38:02.000] Signal 0: 26
[2023-10-10 19:38:02.000] Signal 1: 0
[2023-10-10 19:38:02.001] Signal 2: 0
[2023-10-10 19:38:02.002] Signal 3: 2
[2023-10-10 19:38:02.002] Signal 4: 0
[2023-10-10 19:38:02.002] Signal 5: 1080
[2023-10-10 19:38:02.003] Signal 6: 0
[2023-10-10 19:38:02.004] Signal 7: 60673
[2023-10-10 19:38:02.004] Signal 8: 16383
[2023-10-10 19:38:02.005] Signal 9: 50
[2023-10-10 19:38:03.000] Signal 0: 26
[2023-10-10 19:38:03.000] Signal 1: 0
[2023-10-10 19:38:03.001] Signal 2: 0
[2023-10-10 19:38:03.001] Signal 3: 2
[2023-10-10 19:38:03.002] Signal 4: 0
[2023-10-10 19:38:03.002] Signal 5: 1080
[2023-10-10 19:38:03.003] Signal 6: 0
[2023-10-10 19:38:03.003] Signal 7: 60673
[2023-10-10 19:38:03.004] Signal 8: 16383
[2023-10-10 19:38:03.004] Signal 9: 50
[2023-10-10 19:38:04.000] Signal 0: 26
[2023-10-10 19:38:04.000] Signal 1: 0
[2023-10-10 19:38:04.001] Signal 2: 0
[2023-10-10 19:38:04.002] Signal 3: 2
[2023-10-10 19:38:04.002] Signal 4: 0
[2023-10-10 19:38:04.003] Signal 5: 1080
[2023-10-10 19:38:04.003] Signal 6: 0
[2023-10-10 19:38:04.004] Signal 7: 60673
[2023-10-10 19:38:04.004] Signal 8: 16383
[2023-10-10 19:38:04.005] Signal 9: 50
[2023-10-10 19:38:05.000] Signal 0: 26
[2023-10-10 19:38:05.000] Signal 1: 0
[2023-10-10 19:38:05.001] Signal 2: 0
[2023-10-10 19:38:05.002] Signal 3: 2
[2023-10-10 19:38:05.002] Signal 4: 0
[2023-10-10 19:38:05.003] Signal 5: 1080
[2023-10-10 19:38:05.004] Signal 6: 0
[2023-10-10 19:38:05.005] Signal 7: 60673
[2023-10-10 19:38:05.005] Signal 8: 16383
[2023-10-10 19:38:05.006] Signal 9: 50
[2023-10-10 19:38:06.000] Signal 0: 26
[2023-10-10 19:38:06.000] Signal 1: 0
[2023-10-10 19:38:06.001] Signal 2: 0
[2023-10-10 19:38:06.001] Signal 3: 2
[2023-10-10 19:38:06.002] Signal 4: 0
[2023-10-10 19:38:06.002] Signal 5: 1080
[2023-10-10 19:38:06.003] Signal 6: 0
[2023-10-10 19:38:06.003] Signal 7: 60673
[2023-10-10 19:38:06.004] Signal 8: 16383
[2023-10-10 19:38:06.004] Signal 9: 50
[2023-10-10 19:38:07.000] Signal 0: 26
[2023-10-10 19:38:07.000] Signal 1: 0
[2023-10-10 19:38:07.001] Signal 2: 0
[2023-10-10 19:38:07.002] Signal 3: 2
[2023-10-10 19:38:07.002] Signal 4: 0
[2023-10-10 19:38:07.003] Signal 5: 1080
[2023-10-10 19:38:07.003] Signal 6: 0
[2023-10-10 19:38:07.004] Signal 7: 60673
[2023-10-10 19:38:07.004] Signal 8: 16383
[2023-10-10 19:38:07.005] Signal 9: 50
[2023-10-10 19:38:08.000] Signal 0: 26
[2023-10-10 19:38:08.000] Signal 1: 0
[2023-10-10 19:38:08.001] Signal 2: 0
[2023-10-10 19:38:08.001] Signal 3: 2
[2023-10-10 19:38:08.002] Signal 4: 0
[2023-10-10 19:38:08.002] Signal 5: 1080
[2023-10-10 19:38:08.003] Signal 6: 0
[2023-10-10 19:38:08.003] Signal 7: 60673
[2023-10-10 19:38:08.004] Signal 8: 16383
[2023-10-10 19:38:08.004] Signal 9: 50
[2023-10-10 19:38:09.000] Signal 0: 26
[2023-10-10 19:38:09.002] Signal 1: 0
[2023-10-10 19:38:09.004] Signal 2: 0
[2023-10-10 19:38:09.005] Signal 3: 2
[2023-10-10 19:38:09.006] Signal 4: 0
[2023-10-10 19:38:09.007] Signal 5: 1080
[2023-10-10 19:38:09.007] Signal 6: 0
[2023-10-10 19:38:09.008] Signal 7: 60673
[2023-10-10 19:38:09.009] Signal 8: 16383
[2023-10-10 19:38:09.010] Signal 9: 50
[2023-10-10 19:38:10.000] Signal 0: 26
[2023-10-10 19:38:10.001] Signal 1: 0
[2023-10-10 19:38:10.001] Signal 2: 0
[2023-10-10 19:38:10.002] Signal 3: 2
[2023-10-10 19:38:10.002] Signal 4: 0
[2023-10-10 19:38:10.003] Signal 5: 1080
[2023-10-10 19:38:10.004] Signal 6: 0
[2023-10-10 19:38:10.004] Signal 7: 60673
[2023-10-10 19:38:10.004] Signal 8: 16383
[2023-10-10 19:38:10.005] Signal 9: 50
[2023-10-10 19:38:11.000] Signal 0: 26
[2023-10-10 19:38:11.000] Signal 1: 0
[2023-10-10 19:38:11.001] Signal 2: 0
[2023-10-10 19:38:11.001] Signal 3: 2
[2023-10-10 19:38:11.002] Signal 4: 0
[2023-10-10 19:38:11.002] Signal 5: 1080
[2023-10-10 19:38:11.003] Signal 6: 0
[2023-10-10 19:38:11.003] Signal 7: 60673
[2023-10-10 19:38:11.004] Signal 8: 16383
[2023-10-10 19:38:11.004] Signal 9: 50
[2023-10-10 19:38:12.000] Signal 0: 26
[2023-10-10 19:38:12.000] Signal 1: 0
[2023-10-10 19:38:12.001] Signal 2: 0
[2023-10-10 19:38:12.002] Signal 3: 2
[2023-10-10 19:38:12.002] Signal 4: 0
[2023-10-10 19:38:12.003] Signal 5: 1080
[2023-10-10 19:38:12.003] Signal 6: 0
[2023-10-10 19:38:12.004] Signal 7: 60673
[2023-10-10 19:38:12.004] Signal 8: 16383
[2023-10-10 19:38:12.005] Signal 9: 50
[2023-10-10 19:38:13.000] Signal 0: 26
[2023-10-10 19:38:13.000] Signal 1: 0
[2023-10-10 19:38:13.001] Signal 2: 0
[2023-10-10 19:38:13.001] Signal 3: 2
